	無針注射器制御基板					
						
Part	名称	メーカー	備考	使用個数（１セットあたり）	秋月　通販コード	秋月セット個数
						
BUZZER	PKM13EPYH4000-A0	株式会社村田製作所(muRata)		1	P-04118	１個入
C1	チップ積層セラミックコンデンサー０．１μＦ５０Ｖ　１６０８ 	株式会社村田製作所(muRata) 		1	P-04940	２００個入
C2	チップ積層セラミックコンデンサー０．１μＦ５０Ｖ　１６０８ 	株式会社村田製作所(muRata) 		1	P-04940	２００個入
C3	チップ積層セラミックコンデンサ４７μＦ１６Ｖ±１０％　３２２５	株式会社村田製作所(muRata)		1	P-04657	５個入
CN1	DF13B- 5P-1.25V	ヒロセ電機		1		
CN2	DF13B- 2P-1.25V	ヒロセ電機		1		
FET1	ＮｃｈＭＯＳＦＥＴ　ＩＲＬＭＬ６３４４ＴＲＰＢＦＴＲ	International Rectifier		1	I-06049 	10個入
FET2	ＮｃｈＭＯＳＦＥＴ　ＩＲＬＭＬ６３４４ＴＲＰＢＦＴＲ	International Rectifier		1	I-06049 	10個入
IC1	PIC16F1823	MICROCHIP		1		
J1	２．１ｍｍ標準ＤＣジャック　内径２．１ｍｍ外径５．５ｍｍ	SINGATRON ENTERPRISE CO., LTD		1	C-01604	4個入
LED_B	青色チップＬＥＤ　ＯＳＢＬ１６０８　２３ｍｃｄ	OptoSupply 		1	I-03982 	20個入
LED_G	表面実装　緑色ＬＥＤ　ＯＳＴＧ１６０８Ｃ１Ａ	OptoSupply 		1	I-06417	20個入
R1	10KΩ		在庫あり	1		
R2	10KΩ		在庫あり	1		
R3	1KΩ		在庫あり	1		
R4	1KΩ		在庫あり	1		
R5	1/2W　抵抗 1.5Ω			1		
R6	1W　抵抗 1.5Ω			1		
R_B	1KΩ		在庫あり	1		
R_D1	100Ω		在庫あり	1		
R_G1	100Ω		在庫あり	1		
R_G2	100Ω		在庫あり	1		
R_GS1	100KΩ		在庫あり	1		
R_GS2	100KΩ		在庫あり	1		
R_LED_B	200Ω		在庫あり	1		
R_LED_G	200Ω		在庫あり	1		
R_VPP	10KΩ		在庫あり	1		
SW1	ＳＳＳＳ２１３２０２ 	アルプス電気株式会社(ALPS)		1	P-05043 	10個入
