Partlist

Exported from TOP_BEE_DEMO.brd at 2014/04/08 16:30:36

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part      Value          Package         Library         Position (mil)        Orientation

C1                       3225            02_C            (1929.13386 511.81102) R270
C2                       1608            02_C            (2125.98425 511.81102) R270
CN1       DF13-12P-1.25V DF13C-12P-1.25V con-hirose-df13 (669.29134 275.59055) R0
CN2       DF13-12P-1.25V DF13C-12P-1.25V con-hirose-df13 (669.29134 1692.91339) R0
CN3       DF13-6P-1.25V  DF13C-6P-1.25V  con-hirose-df13 (2244.09449 1771.65354) R0
CN4       2DC-0005X      2DC-0005D       marushin        (2460.62992 1181.10236) R180
C_IN                     1608            02_C            (1830.70866 807.08661) R270
C_OUT                    1608            02_C            (2007.87402 807.08661) R270
DCCON1    ????????       ????????        04_IC           (2480.31496 551.1811) R0
DCCON2    MAU100         MAU             04_IC           (1555.90551 296.85039) R0
FET1      2N7002K        SOT23           06_FET          (314.96063 1181.10236) R180
FET2      2N7002K        SOT23           06_FET          (787.40157 1181.10236) R180
FET3      2N7002K        SOT23           06_FET          (1259.84252 1181.10236) R180
R1                       1608            01_R            (1633.85827 885.82677) R270
REGULATOR NJM2845        TO252           04_IC           (1929.13386 1181.10236) R0
R_L1_1    4.7K           1608            01_R            (314.96063 1338.58268) R0
R_L1_2    10k            1608            01_R            (393.70079 1535.43307) R90
R_L1_3    330            1608            01_R            (511.81102 1141.73228) R0
R_L1_4    1K             1608            01_R            (433.07087 551.1811)  R270
R_L2_1    4.7K           1608            01_R            (787.40157 1338.58268) R0
R_L2_2    10K            1608            01_R            (590.55118 1535.43307) R90
R_L2_3    330            1608            01_R            (984.25197 1141.73228) R0
R_L2_4    1K             1608            01_R            (944.88189 551.1811)  R0
R_L3_1    4.7K           1608            01_R            (1259.84252 1338.58268) R0
R_L3_2    10K            1608            01_R            (787.40157 1535.43307) R90
R_L3_3    330            1608            01_R            (1456.69291 1141.73228) R0
R_L3_4    1K             1608            01_R            (1141.73228 551.1811) R180
TLP1      TLP124         11?4C1          04_IC           (393.70079 826.77165) R180
TLP2      TLP124         11?4C1          04_IC           (866.14173 826.77165) R180
TLP3      TLP124         11?4C1          04_IC           (1338.58268 826.77165) R180
